,data,DATA,HORA
121,2022-01-09 18:12:00.000,2022-01-31,21:41:59.999
122,2022-01-09 18:30:59.999,2022-01-31,21:41:59.999
123,2022-01-09 18:32:59.999,2022-01-31,21:41:59.999
124,2022-01-09 19:53:59.999,2022-01-31,21:41:59.999
125,2022-01-09 19:55:00.000,2022-01-31,21:41:59.999
126,2022-01-09 20:20:59.999,2022-01-31,21:41:59.999
127,2022-01-09 20:38:00.000,2022-01-31,21:41:59.999
128,2022-01-09 21:10:00.000,2022-01-31,21:41:59.999
129,2022-01-09 21:19:59.999,2022-01-31,21:41:59.999
130,2022-01-09 23:24:00.000,2022-01-31,21:41:59.999
131,2022-01-10 01:40:00.000,2022-01-31,21:41:59.999
133,2022-01-10 02:43:00.000,2022-01-31,21:41:59.999
134,2022-01-10 05:45:59.999,2022-01-31,21:41:59.999
135,2022-01-10 06:09:00.000,2022-01-31,21:41:59.999
138,2022-01-10 07:15:00.000,2022-01-31,21:41:59.999
139,2022-01-10 07:20:00.000,2022-01-31,21:41:59.999
140,2022-01-10 07:35:00.000,2022-01-31,21:41:59.999
141,2022-01-10 08:09:59.999,2022-01-31,21:41:59.999
142,2022-01-10 08:33:00.000,2022-01-31,21:41:59.999
145,2022-01-10 09:54:00.000,2022-01-31,21:41:59.999
146,2022-01-10 09:59:59.999,2022-01-31,21:41:59.999
147,2022-01-10 11:00:00.000,2022-01-31,21:41:59.999
148,2022-01-10 11:20:00.000,2022-01-31,21:41:59.999
149,2022-01-10 12:41:59.999,2022-01-31,21:41:59.999
150,2022-01-10 13:42:59.999,2022-01-31,21:41:59.999
151,2022-01-11 06:32:59.999,2022-01-31,21:41:59.999
152,2022-01-11 10:04:00.000,2022-01-31,21:41:59.999
153,2022-01-11 12:21:59.999,2022-01-31,21:41:59.999
154,2022-01-11 16:12:00.000,2022-01-31,21:41:59.999
155,2022-01-11 16:17:59.999,2022-01-31,21:41:59.999
156,2022-01-11 16:31:59.999,2022-01-31,21:41:59.999
161,2022-01-11 19:17:59.999,2022-01-31,21:41:59.999
162,2022-01-11 20:40:00.000,2022-01-31,21:41:59.999
163,2022-01-11 21:00:00.000,2022-01-31,21:41:59.999
164,2022-01-11 21:54:00.000,2022-01-31,21:41:59.999
165,2022-01-11 22:04:59.999,2022-01-31,21:41:59.999
167,2022-01-11 22:58:00.000,2022-01-31,21:41:59.999
168,2022-01-11 23:18:00.000,2022-01-31,21:41:59.999
170,2022-01-11 23:25:00.000,2022-01-31,21:41:59.999
171,2022-01-11 23:27:00.000,2022-01-31,21:41:59.999
172,2022-01-12 01:03:00.000,2022-01-31,21:41:59.999
173,2022-01-12 04:21:00.000,2022-01-31,21:41:59.999
174,2022-01-12 05:20:59.999,2022-01-31,21:41:59.999
177,2022-01-12 06:53:00.000,2022-01-31,21:41:59.999
178,2022-01-12 08:06:00.000,2022-01-31,21:41:59.999
180,2022-01-12 08:45:00.000,2022-01-31,21:41:59.999
181,2022-01-12 09:00:00.000,2022-01-31,21:41:59.999
183,2022-01-12 09:17:00.000,2022-01-31,21:41:59.999
184,2022-01-12 09:59:59.999,2022-01-31,21:41:59.999
185,2022-01-12 10:20:00.000,2022-01-31,21:41:59.999
186,2022-01-12 10:24:00.000,2022-01-31,21:41:59.999
187,2022-01-12 11:29:59.999,2022-01-31,21:41:59.999
188,2022-01-12 11:36:59.999,2022-01-31,21:41:59.999
189,2022-01-12 12:46:59.999,2022-01-31,21:41:59.999
190,2022-01-12 21:00:00.000,2022-01-31,21:41:59.999
191,2022-01-12 22:53:59.999,2022-01-31,21:41:59.999
192,2022-01-12 23:58:00.000,2022-01-31,21:41:59.999
